Variant_category	pval_bin	Proportion	Type
BND	0~1e-07	0.011986301369863	aseOutliers
CNV	0~1e-07	0.00856164383561644	aseOutliers
coding	0~1e-07	0.0530821917808219	aseOutliers
conserved_noncoding	0~1e-07	0.155821917808219	aseOutliers
DEL	0~1e-07	0.023972602739726	aseOutliers
DUP	0~1e-07	0.0136986301369863	aseOutliers
frameshift	0~1e-07	0.0291095890410959	aseOutliers
no_variant	0~1e-07	0.0787671232876712	aseOutliers
other_noncoding	0~1e-07	0.35958904109589	aseOutliers
splice_acceptor_variant	0~1e-07	0.0136986301369863	aseOutliers
splice_donor_variant	0~1e-07	0.0393835616438356	aseOutliers
splice_region_variant	0~1e-07	0.10958904109589	aseOutliers
stop	0~1e-07	0.0479452054794521	aseOutliers
TE	0~1e-07	0.011986301369863	aseOutliers
TSS	0~1e-07	0.0428082191780822	aseOutliers
BND	1e-02~5e-02	0.00173029090515843	aseOutliers
CNV	1e-02~5e-02	0.0101654590678058	aseOutliers
coding	1e-02~5e-02	0.0257380772142316	aseOutliers
conserved_noncoding	1e-02~5e-02	0.0780793770952741	aseOutliers
DEL	1e-02~5e-02	0.0107061749756678	aseOutliers
DUP	1e-02~5e-02	0.00410944089975127	aseOutliers
frameshift	1e-02~5e-02	0.00551530226019249	aseOutliers
INV	1e-02~5e-02	0.000108143181572402	aseOutliers
no_variant	1e-02~5e-02	0.313939656104683	aseOutliers
other_noncoding	1e-02~5e-02	0.467719260300638	aseOutliers
splice_acceptor_variant	1e-02~5e-02	0.00162214772358603	aseOutliers
splice_donor_variant	1e-02~5e-02	0.00162214772358603	aseOutliers
splice_region_variant	1e-02~5e-02	0.0187087704120255	aseOutliers
stop	1e-02~5e-02	0.00854331134421975	aseOutliers
TE	1e-02~5e-02	0.00919217043365416	aseOutliers
TSS	1e-02~5e-02	0.0425002703579539	aseOutliers
BND	1e-03~1e-02	0.00241896468311563	aseOutliers
CNV	1e-03~1e-02	0.0198355104015481	aseOutliers
coding	1e-03~1e-02	0.0319303338171263	aseOutliers
conserved_noncoding	1e-03~1e-02	0.0769230769230769	aseOutliers
DEL	1e-03~1e-02	0.0188679245283019	aseOutliers
DUP	1e-03~1e-02	0.0149975810353169	aseOutliers
frameshift	1e-03~1e-02	0.0164489598451863	aseOutliers
no_variant	1e-03~1e-02	0.261731978713111	aseOutliers
other_noncoding	1e-03~1e-02	0.415578132559265	aseOutliers
splice_acceptor_variant	1e-03~1e-02	0.00628930817610063	aseOutliers
splice_donor_variant	1e-03~1e-02	0.00532172230285438	aseOutliers
splice_region_variant	1e-03~1e-02	0.0420899854862119	aseOutliers
stop	1e-03~1e-02	0.0241896468311563	aseOutliers
TE	1e-03~1e-02	0.00822447992259313	aseOutliers
